"_id","id","artists","metascore","release_date","sort_no","summary","title","user_score","Unnamed: 0","track_id","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre"
"ObjectId(""67ffc98fcede12a7f93534bf"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",3111,"6Byuke1Ac5qWJHFgzu7byM","Rock - Best of 2022","Records",4,208920,false,0.658,0.773,11,-5.119,1,0.0244,0.000901,0,0.194,0.66,100.006,4,"alternative"
"ObjectId(""67ffc98fcede12a7f93534c0"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",3115,"6WwoaXSpEJ75vG1t674Cmm","Fishing Music","Say It Ain't So",0,258825,false,0.635,0.551,3,-7.136,1,0.0354,0.00743,0.0000182,0.07,0.451,151.779,4,"alternative"
"ObjectId(""67ffc98fcede12a7f93534c1"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",3118,"11oRhYmKwkh6iUTC521TSk","Top of the Rock","Records",0,208920,false,0.658,0.773,11,-5.119,1,0.0244,0.000901,0,0.194,0.66,100.006,4,"alternative"
"ObjectId(""67ffc98fcede12a7f93534c2"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",2080,"08k0JhCj8oJLB7Xuclr57s","Fiesta temática 90s","My Name Is Jonas",1,206120,false,0.261,0.947,11,-3.031,1,0.0487,0.000193,0.00326,0.31,0.552,185.942,3,"alt-rock"
"ObjectId(""67ffc98fcede12a7f93534c3"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",3119,"61c2cPZd0ZZr7W2X5d0bUR","Rock Workout 2023","Buddy Holly",2,159226,false,0.555,0.921,8,-4.606,1,0.0369,0.00264,0.000205,0.117,0.775,121.141,4,"alternative"
"ObjectId(""67ffc98fcede12a7f93534c4"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",3120,"2q9STTSwMoEVLyvlNZyOdA","Rock Brandneu","Records",0,208920,false,0.658,0.773,11,-5.119,1,0.0244,0.000901,0,0.194,0.66,100.006,4,"alternative"
"ObjectId(""67ffc98fcede12a7f93534c5"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",3121,"5oJgIQPvytf2nR7WX3vZLn","Tek It - New Noise","Records",0,208920,false,0.658,0.773,11,-5.119,1,0.0244,0.000901,0,0.194,0.66,100.006,4,"alternative"
"ObjectId(""67ffc98fcede12a7f93534c6"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",3122,"65mksf4l4ShgosppsGHoVR","90's Music Grandi Successi","Buddy Holly",0,159226,false,0.555,0.921,8,-4.606,1,0.0369,0.00264,0.000205,0.117,0.775,121.141,4,"alternative"
"ObjectId(""67ffc98fcede12a7f93534c7"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",3124,"7cEZSmCRCiOU1nsCuAtx0F","Mirando las nubes","Island In The Sun",1,200053,false,0.654,0.794,4,-6.288,0,0.0284,0.00769,0.00134,0.165,0.678,114.62,4,"alternative"
"ObjectId(""67ffc98fcede12a7f93534c8"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",3125,"1l1ra0gsPlpnDOc4HdkKZU","Emo Christmas 2022","O Come All Ye Faithful",0,124653,false,0.516,0.818,11,-6.076,1,0.0393,0.00701,0,0.337,0.769,121.907,4,"alternative"
